CustomerID,Age,Gender,Location,RegisteredDate,EmailAddress,PhoneNumber,TotalSpend,NumberOfOrders,NumberOfReturnedOrders,NumberOfCanceledOrders
CUST100001,63,Male,Johannesburg,5/16/2023,customer0@example.com,721030057,2303.77,89,35,8
CUST100002,69,Female,Pretoria,2/12/2023,customer1@example.com,721008005,4434.22,94,10,83
CUST100003,32,Female,Johannesburg,1/28/2023,customer2@example.com,721020012,1544.7,56,27,23
CUST100004,34,Male,Johannesburg,11/15/2023,customer3@example.com,721013797,479.02,8,2,3
CUST100005,52,Non-binary,Pretoria,1/21/2023,customer4@example.com,721015420,359.004,13,5,6
CUST100006,57,Female,Johannesburg,5/17/2023,customer5@example.com,721011061,415.132,100,4,81
CUST100007,22,Female,Durban,10/15/2023,customer6@example.com,721029050,4786.94,91,21,55
CUST100008,39,Female,Johannesburg,10/17/2023,customer7@example.com,721016689,2418.19,33,3,24
CUST100009,62,Non-binary,Durban,1/13/2023,customer8@example.com,721024756,1155.26,30,4,11
CUST100010,67,Female,Cape Town,8/17/2023,customer9@example.com,721032640,1410.28,85,9,2
CUST100011,27,Male,Johannesburg,6/24/2023,customer10@example.com,721016277,3374.23,73,12,56
CUST100012,57,Male,Johannesburg,8/6/2023,customer11@example.com,721015318,901.454,17,1,10
CUST100013,23,Non-binary,Johannesburg,10/22/2023,customer12@example.com,721020918,5559.32,74,17,29
CUST100014,47,Female,Bloemfontein,8/15/2023,customer13@example.com,721012376,306.584,19,9,9
CUST100015,41,Female,Pretoria,8/24/2023,customer14@example.com,721024794,1117.34,88,8,45
CUST100016,26,Male,Cape Town,11/10/2023,customer15@example.com,721018760,4912.45,76,35,19
CUST100017,48,Male,Johannesburg,1/3/2024,customer16@example.com,721001899,453.311,32,8,23
CUST100018,46,Non-binary,Cape Town,8/19/2023,customer17@example.com,721030598,863.535,12,1,3
CUST100019,54,Female,Bloemfontein,8/13/2023,customer18@example.com,721019875,1680.99,76,32,7
CUST100020,19,Female,Pretoria,2/9/2023,customer19@example.com,721027556,4258.64,66,0,8
CUST100021,52,Female,Bloemfontein,7/5/2023,customer20@example.com,721024329,3047.19,63,20,21
CUST100022,51,Male,Cape Town,1/13/2024,customer21@example.com,721013728,1027.01,31,9,0
CUST100023,41,Non-binary,Pretoria,4/21/2023,customer22@example.com,721007470,858.003,16,1,14
CUST100024,19,Non-binary,Pretoria,5/15/2023,customer23@example.com,721028549,3463.85,59,14,41
CUST100025,70,Female,Pretoria,5/25/2023,customer24@example.com,721024014,3177.72,35,12,3
CUST100026,59,Non-binary,Johannesburg,4/21/2023,customer25@example.com,721025980,3694.2,53,11,22
CUST100027,45,Non-binary,Johannesburg,5/23/2023,customer26@example.com,721001471,2190.38,45,9,10
